"Item" "Rater" "Cat"
1 1 4
2 1 1
3 1 3
4 1 4
5 1 3
6 1 2
7 1 1
8 1 3
9 1 2
10 1 1
11 1 5
12 1 1
13 1 3
15 1 2
16 1 4
17 1 3
18 1 2
19 1 2
22 1 2
23 1 1
24 1 4
25 1 1
26 1 1
27 1 2
28 1 4
29 1 3
30 1 3
31 1 1
32 1 4
33 1 3
34 1 1
35 1 3
36 1 2
37 1 3
38 1 5
39 1 2
40 1 3
41 1 3
42 1 5
43 1 5
44 1 3
45 1 1
46 1 2
47 1 4
48 1 3
49 1 3
51 1 2
52 1 3
53 1 4
54 1 3
55 1 3
56 1 2
57 1 2
58 1 1
59 1 3
60 1 1
61 1 1
62 1 4
63 1 1
64 1 2
65 1 4
66 1 3
67 1 1
68 1 2
69 1 3
70 1 1
71 1 4
72 1 3
73 1 3
74 1 4
76 1 1
77 1 2
78 1 2
79 1 2
80 1 4
81 1 1
82 1 4
83 1 5
84 1 2
85 1 4
86 1 3
87 1 4
88 1 4
89 1 2
90 1 3
91 1 3
92 1 4
93 1 3
94 1 1
95 1 3
96 1 4
98 1 4
99 1 1
100 1 3
101 1 4
102 1 3
103 1 1
104 1 2
105 1 3
106 1 2
107 1 3
108 1 3
110 1 2
111 1 1
112 1 3
113 1 3
114 1 2
115 1 3
116 1 1
117 1 3
118 1 3
119 1 1
120 1 1
121 1 2
122 1 5
123 1 4
124 1 1
126 1 2
1 2 3
2 2 1
3 2 3
4 2 3
5 2 3
6 2 1
7 2 1
8 2 3
9 2 2
10 2 1
11 2 5
12 2 1
13 2 3
15 2 2
16 2 3
17 2 3
18 2 3
19 2 1
22 2 3
23 2 1
24 2 3
25 2 1
26 2 1
27 2 1
28 2 4
29 2 3
30 2 3
31 2 1
32 2 3
33 2 3
34 2 1
35 2 3
36 2 2
37 2 3
38 2 3
39 2 1
40 2 3
41 2 3
42 2 5
43 2 3
44 2 2
45 2 1
46 2 3
47 2 4
48 2 3
49 2 2
51 2 3
52 2 3
53 2 3
